Number of Employees T12: 10
Number of Employees ALL: 10
Average Satisfaction Level All
t,w = 0,w = 1,w = 3
70.0, 0.5481892263889313, 0.5482862336436908, 0.5484123610172953
71.0, 0.5485020858049393, 0.5483783850073815, 0.5484637420943805
72.0, 0.5484438428282737, 0.5485509909192721, 0.548558252964701
73.0, 0.5487070441246032, 0.5486739719907443, 0.5486649092180389
74.0, 0.5488710290193558, 0.5488684089978536, 0.5487707029495921
75.0, 0.5490271538496018, 0.5489373884598414, 0.5488106071523259
76.0, 0.5489139825105667, 0.5489569729566575, 0.5488178279570172
77.0, 0.5489297825098037, 0.5488750600814819, 0.5487275149141039
78.0, 0.5487814152240753, 0.5487351953983306, 0.5486486029624938
79.0, 0.548494388461113, 0.5484502188364665, 0.5485335175480162
80.0, 0.5480748528242111, 0.5482959622144699, 0.5484509547267641
81.0, 0.5483186453580856, 0.5482050180435181, 0.5483551392384938
82.0, 0.5482215559482575, 0.5482920813560487, 0.5482649961113929
83.0, 0.5483360427618027, 0.5482722242673238, 0.5482111945322582
84.0, 0.5482590740919113, 0.5482485100626945, 0.5482314695205007
85.0, 0.5481504133343696, 0.5481757549444835, 0.5482187937838691
86.0, 0.5481177774071694, 0.5481616561611493, 0.5482307642698288
87.0, 0.548216777741909, 0.5481881567835808, 0.5481817704439164
88.0, 0.548229915201664, 0.5482506807645162, 0.5481212333696229
89.0, 0.5483053493499755, 0.5481761168440182, 0.5480815327167511
90.0, 0.5479930859804153, 0.5480445833007495, 0.5480618039199284
91.0, 0.5478353145718574, 0.5479003031055133, 0.5480161410144396
92.0, 0.547872508764267, 0.5478958330551783, 0.5479731597644941
93.0, 0.5479796758294105, 0.5479164406657219, 0.5479230016469955
94.0, 0.5478971374034881, 0.547935286561648, 0.5479342372076853
95.0, 0.5479290464520454, 0.5479268087943395, 0.5479612814528602
96.0, 0.5479542425274849, 0.5479850079615911, 0.547981657556125
97.0, 0.548071734905243, 0.54801686724027, 0.5480124286668641
98.0, 0.5480246242880821, 0.5480371668934821
99.0, 0.5480151414871216, 0.5480782797932625
100.0, 0.5481950736045837
Average Daily Cost
t,w = 0,w = 1,w = 3
1.0, 7308.5675, 7308.5675, 7308.5675
2.0, 7289.1475, 7283.7625, 7283.7625
3.0, 7253.572499999998, 7255.668124999999, 7257.695475
4.0, 7224.284375, 7230.2541249999995, 7241.149531462585
5.0, 7212.905500000002, 7215.78426388889, 7223.119710034013
6.0, 7210.162916666665, 7204.15828174603, 7205.5699084467105
7.0, 7189.406428571426, 7193.9760317460305, 7190.806729875282
8.0, 7182.35875, 7179.354689153438, 7179.1639295506075
9.0, 7166.298888888887, 7166.295962962961, 7169.721745026799
10.0, 7150.230249999997, 7153.104637205387, 7160.871355832659
11.0, 7142.784772727278, 7146.608410353537, 7154.326457873476
12.0, 7146.810208333335, 7145.935057789436, 7147.933231683001
13.0, 7148.2101923076925, 7146.2041811660565, 7143.753970770303
14.0, 7143.592142857143, 7143.136167277168, 7142.305468669461
15.0, 7137.606166666669, 7139.414124007937, 7141.450560660802
16.0, 7137.0440625, 7138.246988153594, 7140.30395195153
17.0, 7140.090735294116, 7137.97840482026, 7137.773120907574
18.0, 7136.800416666665, 7138.558366443068, 7133.825705941587
19.0, 7138.7839473684235, 7135.359579678363, 7129.757795768427
20.0, 7130.494375000001, 7128.412853487887, 7125.624498019979
21.0, 7115.960238095239, 7118.528469516595, 7121.74625309701
22.0, 7109.130795454543, 7111.067337270218, 7118.051079287487
23.0, 7108.110978260869, 7110.061598182914, 7114.30749339969
24.0, 7112.943020833331, 7110.6627330314, 7111.294090621913
25.0, 7110.934200000001, 7112.152022329058, 7109.63264079198
26.0, 7112.578846153844, 7110.971200569799, 7108.753721736897
27.0, 7109.400555555555, 7108.769830331705, 7107.923760556773
28.0, 7104.330089285715, 7105.569668970079, 7106.489008732656
29.0, 7102.978362068967, 7103.203233784893, 7104.743888643371
30.0, 7102.301249999998, 7102.72645671116, 7103.389486378969
31.0, 7102.899758064516, 7101.306455813171, 7102.00353516515
32.0, 7098.718359375, 7101.572049247515, 7101.096553022294
33.0, 7103.098030303027, 7100.505095578951, 7100.033066774346
34.0, 7099.698897058825, 7100.2593805491915, 7099.08194225697
35.0, 7097.98121428572, 7097.738023225959, 7097.535397871815
36.0, 7095.5339583333325, 7096.38618366581, 7096.933745799929
37.0, 7095.643378378376, 7094.417094693377, 7095.639455756638
38.0, 7092.073947368423, 7094.074706872864, 7094.323437361475
39.0, 7094.506794871797, 7093.539580746739, 7092.933034300251
40.0, 7094.037999999997, 7093.010521054825, 7091.693980451966
41.0, 7090.486768292682, 7090.92438704994, 7090.147816008303
42.0, 7088.248392857142, 7088.5319141817245, 7088.877910828686
43.0, 7086.86058139535, 7086.643067175074, 7087.294921499175
44.0, 7084.8202272727285, 7084.9551399263955, 7085.491111468779
45.0, 7083.184611111107, 7083.810235983019, 7083.944058260301
46.0, 7083.42586956522, 7082.6739368211865, 7082.302655199077
47.0, 7081.411329787233, 7081.498198395263, 7080.4893149997415
48.0, 7079.657395833334, 7079.275765683046, 7078.809947798314
49.0, 7076.75857142857, 7076.861055753966, 7077.490813793432
50.0, 7074.167199999996, 7074.663476097103, 7075.700588491661
51.0, 7073.064656862741, 7073.727509979887, 7074.051906458566
52.0, 7073.9506730769235, 7072.636540797498, 7072.531570690167
53.0, 7070.89429245283, 7071.571840361772, 7071.47509109833
54.0, 7069.870555555561, 7069.9266311543115, 7070.964657764998
55.0, 7069.015045454544, 7069.4162717652725, 7070.480821316626
56.0, 7069.363214285715, 7069.657475468976, 7069.629847438809
57.0, 7070.5941666666695, 7069.878394225508, 7069.207156850309
58.0, 7069.677801724138, 7069.421941441004, 7068.984799967665
59.0, 7067.9938559322045, 7068.535705329891, 7068.979413289827
60.0, 7067.9354583333325, 7068.081123880863, 7068.641561815905
61.0, 7068.31405737705, 7068.408951473353, 7067.892914122452
62.0, 7068.977338709678, 7068.096550018329, 7067.530464425597
63.0, 7066.998253968258, 7067.109741830146, 7067.673290201515
64.0, 7065.3536328125, 7066.497513542304, 7067.7556554289495
65.0, 7067.140653846153, 7067.1626410074305, 7067.669902484328
66.0, 7068.993636363638, 7068.215435045055, 7067.398217451269
67.0, 7068.512014925372, 7068.406479351238, 7067.403221986416
